,Top-Left,Bottom-Right,Id
0,"[75, 68]","[259, 144]",0
1,"[46, 144]","[614, 352]",1
2,"[694, 215]","[713, 243]",2
3,"[778, 185]","[848, 284]",3
4,"[889, 157]","[1170, 311]",4
5,"[1194, 164]","[1482, 342]",5
6,"[1530, 154]","[1851, 314]",6
7,"[73, 349]","[341, 424]",7
8,"[360, 349]","[725, 424]",8
9,"[747, 342]","[868, 410]",9
10,"[887, 345]","[1049, 410]",10
11,"[1071, 338]","[1358, 414]",11
12,"[1375, 338]","[1506, 414]",12
13,"[1523, 338]","[1798, 414]",13
14,"[68, 420]","[169, 499]",14
15,"[184, 420]","[604, 516]",15
16,"[624, 431]","[1025, 492]",16
17,"[1047, 427]","[1271, 513]",17
18,"[1291, 427]","[1515, 492]",18
19,"[1540, 434]","[1820, 509]",19
20,"[73, 516]","[234, 581]",20
21,"[247, 506]","[338, 588]",21
22,"[353, 523]","[503, 602]",22
23,"[522, 509]","[604, 588]",23
24,"[621, 530]","[708, 584]",24
25,"[728, 513]","[839, 581]",25
26,"[856, 530]","[1042, 605]",26
27,"[1061, 509]","[1134, 584]",27
28,"[1146, 516]","[1489, 602]",28
29,"[1503, 509]","[1651, 584]",29
30,"[68, 619]","[126, 680]",30
31,"[135, 632]","[230, 670]",31
32,"[244, 629]","[495, 677]",32
33,"[508, 629]","[616, 670]",33
34,"[73, 954]","[123, 984]",34
35,"[230, 943]","[437, 991]",35
36,"[457, 947]","[529, 988]",36
37,"[541, 950]","[619, 991]",37
38,"[648, 954]","[703, 984]",38
39,"[68, 988]","[164, 1039]",39
40,"[169, 991]","[341, 1032]",40
41,"[346, 995]","[430, 1036]",41
42,"[433, 988]","[486, 1039]",42
43,"[488, 995]","[561, 1036]",43
44,"[566, 991]","[691, 1042]",44
45,"[70, 1042]","[225, 1094]",45
46,"[215, 1042]","[261, 1087]",46
47,"[266, 1039]","[358, 1090]",47
48,"[360, 1039]","[440, 1090]",48
49,"[445, 1032]","[679, 1094]",49
50,"[70, 1087]","[292, 1148]",50
51,"[295, 1090]","[452, 1142]",51
52,"[459, 1090]","[599, 1142]",52
53,"[604, 1090]","[665, 1135]",53
54,"[70, 1138]","[247, 1200]",54
55,"[247, 1142]","[445, 1193]",55
56,"[450, 1145]","[570, 1186]",56
57,"[575, 1138]","[701, 1189]",57
58,"[70, 1183]","[225, 1248]",58
59,"[230, 1189]","[300, 1244]",59
60,"[305, 1193]","[486, 1244]",60
61,"[491, 1200]","[529, 1237]",61
62,"[537, 1196]","[626, 1237]",62
63,"[65, 1230]","[307, 1306]",63
64,"[300, 1241]","[493, 1292]",64
65,"[500, 1244]","[648, 1295]",65
66,"[65, 1282]","[147, 1354]",66
67,"[143, 1285]","[210, 1340]",67
68,"[215, 1295]","[338, 1336]",68
69,"[341, 1292]","[447, 1343]",69
70,"[454, 1289]","[645, 1350]",70
71,"[641, 1295]","[703, 1340]",71
72,"[68, 1343]","[191, 1395]",72
73,"[198, 1350]","[237, 1388]",73
74,"[242, 1340]","[464, 1391]",74
75,"[466, 1343]","[553, 1395]",75
76,"[563, 1347]","[648, 1388]",76
77,"[655, 1347]","[749, 1388]",77
78,"[63, 1377]","[336, 1463]",78
79,"[329, 1395]","[372, 1439]",79
80,"[379, 1395]","[471, 1446]",80
81,"[476, 1391]","[566, 1442]",81
82,"[570, 1398]","[764, 1449]",82
83,"[109, 1442]","[225, 1497]",83
84,"[227, 1449]","[268, 1494]",84
85,"[271, 1442]","[377, 1497]",85
86,"[377, 1439]","[488, 1504]",86
87,"[491, 1439]","[624, 1500]",87
88,"[619, 1439]","[737, 1504]",88
89,"[44, 1405]","[227, 1586]",89
90,"[63, 1524]","[162, 1610]",90
91,"[160, 1542]","[292, 1603]",91
92,"[290, 1535]","[389, 1603]",92
93,"[392, 1548]","[435, 1593]",93
94,"[483, 1545]","[607, 1596]",94
95,"[611, 1542]","[684, 1596]",95
96,"[338, 1596]","[488, 1637]",96
97,"[65, 1589]","[135, 1647]",97
98,"[133, 1583]","[336, 1647]",98
99,"[70, 1647]","[232, 1688]",99
100,"[324, 1644]","[382, 1688]",100
101,"[239, 1644]","[319, 1695]",101
102,"[387, 1644]","[590, 1692]",102
103,"[595, 1644]","[650, 1688]",103
104,"[70, 1695]","[283, 1747]",104
105,"[290, 1699]","[430, 1750]",105
106,"[440, 1702]","[541, 1743]",106
107,"[544, 1692]","[616, 1747]",107
108,"[614, 1682]","[740, 1774]",108
109,"[68, 1743]","[133, 1798]",109
110,"[138, 1747]","[404, 1798]",110
111,"[413, 1747]","[568, 1798]",111
112,"[573, 1743]","[670, 1798]",112
113,"[70, 1798]","[239, 1849]",113
114,"[247, 1798]","[404, 1849]",114
115,"[411, 1798]","[609, 1849]",115
116,"[611, 1791]","[732, 1846]",116
117,"[68, 1839]","[143, 1894]",117
118,"[145, 1849]","[220, 1890]",118
119,"[232, 1849]","[292, 1894]",119
120,"[305, 1849]","[517, 1900]",120
121,"[524, 1849]","[609, 1890]",121
122,"[616, 1832]","[689, 1900]",122
123,"[56, 2017]","[155, 2071]",123
124,"[169, 2020]","[300, 2071]",124
125,"[312, 2017]","[370, 2075]",125
126,"[377, 2013]","[508, 2075]",126
127,"[68, 2078]","[205, 2140]",127
128,"[213, 2082]","[445, 2143]",128
129,"[454, 2085]","[527, 2140]",129
130,"[65, 2143]","[167, 2211]",130
131,"[174, 2143]","[558, 2205]",131
132,"[68, 2201]","[172, 2270]",132
133,"[184, 2205]","[312, 2256]",133
134,"[321, 2205]","[551, 2270]",134
135,"[563, 2215]","[633, 2273]",135
136,"[65, 2270]","[169, 2334]",136
137,"[174, 2273]","[454, 2334]",137
138,"[68, 2317]","[338, 2389]",138
139,"[63, 2403]","[143, 2488]",139
140,"[135, 2393]","[220, 2444]",140
141,"[278, 2403]","[367, 2440]",141
142,"[389, 2403]","[498, 2440]",142
143,"[510, 2389]","[730, 2437]",143
144,"[65, 2591]","[268, 2666]",144
145,"[261, 2604]","[343, 2656]",145
146,"[348, 2594]","[411, 2649]",146
147,"[413, 2608]","[481, 2649]",147
148,"[481, 2601]","[689, 2663]",148
149,"[686, 2598]","[778, 2652]",149
150,"[68, 2642]","[242, 2707]",150
151,"[247, 2659]","[268, 2697]",151
152,"[273, 2652]","[457, 2714]",152
153,"[464, 2656]","[508, 2697]",153
154,"[508, 2652]","[660, 2704]",154
155,"[667, 2656]","[781, 2707]",155
156,"[116, 2803]","[324, 2864]",156
157,"[326, 2806]","[360, 2854]",157
158,"[367, 2810]","[491, 2861]",158
159,"[488, 2813]","[529, 2857]",159
160,"[534, 2810]","[626, 2861]",160
161,"[633, 2810]","[778, 2861]",161
162,"[63, 2844]","[111, 2916]",162
163,"[111, 2854]","[176, 2909]",163
164,"[184, 2857]","[302, 2912]",164
165,"[302, 2857]","[382, 2909]",165
166,"[389, 2864]","[549, 2905]",166
167,"[558, 2854]","[660, 2905]",167
168,"[58, 2878]","[232, 2970]",168
169,"[213, 2902]","[399, 2963]",169
170,"[401, 2912]","[440, 2950]",170
171,"[445, 2919]","[599, 2960]",171
172,"[602, 2902]","[691, 2967]",172
173,"[679, 2905]","[725, 2953]",173
174,"[63, 2998]","[201, 3073]",174
175,"[205, 3008]","[295, 3059]",175
176,"[292, 3011]","[372, 3052]",176
177,"[379, 3004]","[541, 3066]",177
