,Top-Left,Bottom-Right,Id
0,"[1409, 236]","[1518, 277]",0
1,"[1520, 226]","[1726, 287]",1
2,"[1820, 226]","[1934, 277]",2
3,"[1943, 215]","[2086, 277]",3
4,"[2098, 208]","[2238, 273]",4
5,"[234, 400]","[621, 475]",5
6,"[674, 390]","[1010, 485]",6
7,"[230, 496]","[437, 581]",7
8,"[491, 496]","[1150, 581]",8
9,"[232, 598]","[720, 684]",9
10,"[776, 602]","[1189, 673]",10
11,"[239, 738]","[529, 810]",11
12,"[549, 742]","[720, 807]",12
13,"[747, 742]","[933, 807]",13
14,"[237, 807]","[483, 878]",14
15,"[510, 813]","[757, 875]",15
16,"[781, 813]","[931, 875]",16
17,"[955, 827]","[1182, 875]",17
18,"[239, 892]","[638, 943]",18
19,"[667, 889]","[947, 937]",19
20,"[242, 964]","[561, 1015]",20
21,"[319, 1073]","[454, 1125]",21
22,"[573, 1077]","[1025, 1128]",22
23,"[1141, 1087]","[1225, 1125]",23
24,"[213, 1060]","[590, 1210]",24
25,"[575, 1121]","[846, 1183]",25
26,"[853, 1128]","[1225, 1179]",26
27,"[227, 1183]","[319, 1234]",27
28,"[387, 1176]","[670, 1248]",28
29,"[744, 1183]","[976, 1234]",29
30,"[1049, 1189]","[1223, 1230]",30
31,"[230, 1237]","[413, 1289]",31
32,"[454, 1234]","[611, 1295]",32
33,"[653, 1244]","[711, 1285]",33
34,"[718, 1251]","[795, 1289]",34
35,"[846, 1237]","[1042, 1289]",35
36,"[1083, 1234]","[1228, 1295]",36
37,"[227, 1289]","[379, 1350]",37
38,"[406, 1295]","[462, 1340]",38
39,"[486, 1289]","[573, 1343]",39
40,"[599, 1292]","[805, 1343]",40
41,"[836, 1292]","[1102, 1343]",41
42,"[1134, 1278]","[1225, 1333]",42
43,"[227, 1343]","[300, 1401]",43
44,"[317, 1336]","[454, 1412]",44
45,"[479, 1347]","[674, 1398]",45
46,"[696, 1347]","[839, 1398]",46
47,"[863, 1343]","[918, 1388]",47
48,"[943, 1347]","[1044, 1398]",48
49,"[1066, 1336]","[1230, 1401]",49
50,"[225, 1395]","[353, 1459]",50
51,"[350, 1401]","[447, 1453]",51
52,"[476, 1401]","[706, 1453]",52
53,"[725, 1391]","[979, 1463]",53
54,"[993, 1395]","[1105, 1459]",54
55,"[1126, 1401]","[1228, 1453]",55
56,"[225, 1446]","[454, 1521]",56
57,"[500, 1456]","[558, 1500]",57
58,"[607, 1453]","[846, 1514]",58
59,"[887, 1446]","[986, 1524]",59
60,"[1032, 1456]","[1223, 1507]",60
61,"[227, 1500]","[336, 1565]",61
62,"[353, 1507]","[452, 1559]",62
63,"[469, 1504]","[730, 1565]",63
64,"[752, 1504]","[933, 1565]",64
65,"[931, 1504]","[1030, 1569]",65
66,"[1047, 1511]","[1223, 1562]",66
67,"[230, 1562]","[375, 1613]",67
68,"[389, 1562]","[578, 1613]",68
69,"[595, 1559]","[708, 1610]",69
70,"[725, 1562]","[909, 1613]",70
71,"[928, 1562]","[1020, 1617]",71
72,"[1039, 1562]","[1225, 1613]",72
73,"[276, 1729]","[437, 1771]",73
74,"[466, 1726]","[677, 1774]",74
75,"[703, 1723]","[938, 1774]",75
76,"[962, 1726]","[1223, 1777]",76
77,"[227, 1784]","[442, 1832]",77
78,"[488, 1777]","[660, 1829]",78
79,"[703, 1777]","[848, 1829]",79
80,"[885, 1777]","[1003, 1832]",80
81,"[1047, 1777]","[1225, 1839]",81
82,"[225, 1876]","[512, 1948]",82
83,"[563, 1870]","[713, 1945]",83
84,"[776, 1894]","[952, 1935]",84
85,"[1010, 1883]","[1228, 1945]",85
86,"[1370, 1398]","[1460, 1453]",86
87,"[1470, 1395]","[1644, 1446]",87
88,"[1656, 1398]","[1914, 1449]",88
89,"[1929, 1401]","[2209, 1449]",89
90,"[1325, 1463]","[1445, 1514]",90
91,"[1455, 1459]","[1578, 1511]",91
92,"[1590, 1459]","[1680, 1514]",92
93,"[1689, 1463]","[1980, 1511]",93
94,"[1987, 1459]","[2076, 1514]",94
95,"[2088, 1463]","[2255, 1504]",95
96,"[1629, 1518]","[1784, 1579]",96
97,"[1793, 1524]","[1951, 1576]",97
98,"[232, 1617]","[551, 1668]",98
99,"[573, 1617]","[759, 1668]",99
100,"[1402, 1644]","[1549, 1709]",100
101,"[1559, 1651]","[1602, 1702]",101
102,"[1619, 1644]","[1861, 1712]",102
103,"[1873, 1661]","[1963, 1702]",103
104,"[1404, 1716]","[1544, 1777]",104
105,"[1557, 1729]","[1615, 1771]",105
106,"[1629, 1716]","[1825, 1777]",106
107,"[1839, 1729]","[1943, 1767]",107
108,"[230, 1832]","[382, 1883]",108
109,"[399, 1835]","[628, 1887]",109
110,"[633, 1822]","[788, 1928]",110
111,"[790, 1829]","[904, 1883]",111
112,"[911, 1829]","[1049, 1890]",112
113,"[1059, 1835]","[1225, 1887]",113
114,"[1296, 1818]","[1530, 1870]",114
115,"[1552, 1818]","[1786, 1866]",115
116,"[232, 1945]","[425, 1993]",116
117,"[524, 1941]","[619, 1982]",117
118,"[650, 1935]","[725, 2003]",118
119,"[759, 1945]","[1013, 1993]",119
120,"[1042, 1935]","[1225, 1996]",120
121,"[1341, 1928]","[1622, 1979]",121
122,"[1641, 1924]","[1740, 1965]",122
123,"[1752, 1921]","[1893, 1982]",123
124,"[1905, 1921]","[2129, 1982]",124
125,"[2144, 1921]","[2282, 1972]",125
126,"[225, 1982]","[498, 2058]",126
127,"[503, 1996]","[624, 2051]",127
128,"[624, 1986]","[732, 2051]",128
129,"[737, 1979]","[815, 2047]",129
130,"[817, 1986]","[996, 2047]",130
131,"[1020, 1996]","[1223, 2047]",131
132,"[1296, 1979]","[1385, 2034]",132
133,"[1409, 1979]","[1499, 2034]",133
134,"[1520, 1976]","[1752, 2037]",134
135,"[1776, 1979]","[1822, 2027]",135
136,"[1847, 1972]","[2030, 2034]",136
137,"[2050, 1976]","[2149, 2030]",137
138,"[2158, 1969]","[2289, 2064]",138
139,"[290, 2047]","[387, 2099]",139
140,"[421, 2041]","[479, 2095]",140
141,"[508, 2047]","[643, 2109]",141
142,"[682, 2047]","[778, 2102]",142
143,"[815, 2044]","[885, 2102]",143
144,"[923, 2044]","[1221, 2105]",144
145,"[1293, 2030]","[1404, 2099]",145
146,"[1436, 2030]","[1588, 2092]",146
147,"[1624, 2023]","[1837, 2088]",147
148,"[1868, 2030]","[1963, 2085]",148
149,"[1996, 2030]","[2122, 2082]",149
150,"[2154, 2027]","[2212, 2082]",150
151,"[2245, 2027]","[2279, 2075]",151
152,"[225, 2153]","[319, 2222]",152
153,"[358, 2150]","[573, 2225]",153
154,"[602, 2075]","[798, 2239]",154
155,"[795, 2157]","[979, 2208]",155
156,"[1034, 2157]","[1223, 2208]",156
157,"[1298, 2140]","[1455, 2181]",157
158,"[1506, 2136]","[1610, 2188]",158
159,"[1656, 2146]","[1769, 2198]",159
160,"[1820, 2136]","[2042, 2201]",160
161,"[2093, 2146]","[2277, 2188]",161
162,"[225, 2201]","[341, 2266]",162
163,"[358, 2205]","[447, 2273]",163
164,"[469, 2211]","[587, 2266]",164
165,"[614, 2205]","[708, 2273]",165
166,"[730, 2211]","[981, 2263]",166
167,"[1010, 2208]","[1225, 2259]",167
168,"[1296, 2194]","[1395, 2246]",168
169,"[1424, 2188]","[1605, 2266]",169
170,"[1629, 2191]","[1774, 2252]",170
171,"[1803, 2198]","[1878, 2252]",171
172,"[1907, 2191]","[2011, 2246]",172
173,"[2042, 2194]","[2168, 2252]",173
174,"[2195, 2194]","[2282, 2249]",174
175,"[225, 2259]","[375, 2321]",175
176,"[430, 2259]","[611, 2324]",176
177,"[672, 2266]","[836, 2317]",177
178,"[897, 2270]","[1223, 2321]",178
179,"[1293, 2242]","[1474, 2304]",179
180,"[1525, 2242]","[1764, 2304]",180
181,"[1815, 2242]","[1975, 2317]",181
182,"[2035, 2246]","[2279, 2307]",182
183,"[334, 2314]","[524, 2375]",183
184,"[541, 2317]","[766, 2379]",184
185,"[786, 2317]","[880, 2386]",185
186,"[897, 2321]","[986, 2375]",186
187,"[1008, 2317]","[1221, 2369]",187
188,"[1293, 2300]","[1455, 2362]",188
189,"[1477, 2307]","[1711, 2358]",189
190,"[1731, 2290]","[1917, 2365]",190
191,"[1926, 2293]","[2064, 2372]",191
192,"[2074, 2300]","[2282, 2365]",192
193,"[210, 2297]","[341, 2444]",193
194,"[363, 2375]","[544, 2427]",194
195,"[573, 2372]","[798, 2434]",195
196,"[834, 2369]","[1039, 2434]",196
197,"[1073, 2375]","[1223, 2427]",197
