,Top-Left,Bottom-Right,Id
0,"[276, 294]","[442, 345]",0
1,"[469, 297]","[645, 362]",1
2,"[672, 294]","[812, 345]",2
3,"[834, 297]","[902, 352]",3
4,"[928, 297]","[1225, 359]",4
5,"[411, 390]","[549, 441]",5
6,"[595, 390]","[807, 455]",6
7,"[851, 386]","[960, 465]",7
8,"[1001, 390]","[1257, 438]",8
9,"[1303, 390]","[1479, 441]",9
10,"[1528, 393]","[1762, 458]",10
11,"[1808, 386]","[1902, 468]",11
12,"[1938, 386]","[2197, 461]",12
13,"[276, 468]","[498, 543]",13
14,"[537, 468]","[947, 530]",14
15,"[981, 472]","[1213, 520]",15
16,"[1250, 472]","[1370, 523]",16
17,"[1404, 465]","[1750, 537]",17
18,"[1784, 468]","[1844, 523]",18
19,"[1876, 468]","[2197, 543]",19
20,"[276, 543]","[486, 619]",20
21,"[524, 547]","[781, 622]",21
22,"[817, 547]","[1083, 598]",22
23,"[1124, 550]","[1262, 602]",23
24,"[1300, 550]","[1612, 602]",24
25,"[1653, 550]","[1996, 622]",25
26,"[2033, 547]","[2199, 625]",26
27,"[276, 629]","[447, 704]",27
28,"[474, 629]","[626, 704]",28
29,"[650, 632]","[776, 690]",29
30,"[798, 625]","[880, 711]",30
31,"[904, 629]","[1165, 704]",31
32,"[1187, 632]","[1303, 684]",32
33,"[1329, 625]","[1416, 690]",33
34,"[1443, 629]","[1600, 708]",34
35,"[1627, 629]","[1738, 711]",35
36,"[1764, 629]","[1963, 704]",36
37,"[1992, 629]","[2197, 680]",37
38,"[276, 711]","[522, 783]",38
39,"[549, 711]","[790, 772]",39
40,"[416, 820]","[853, 872]",40
41,"[897, 831]","[1008, 868]",41
42,"[1051, 817]","[1242, 892]",42
43,"[1286, 820]","[1421, 872]",43
44,"[1462, 820]","[1617, 896]",44
45,"[1653, 813]","[1791, 875]",45
46,"[1830, 817]","[1951, 896]",46
47,"[1987, 820]","[2197, 872]",47
48,"[273, 892]","[566, 978]",48
49,"[587, 899]","[839, 974]",49
50,"[858, 899]","[974, 954]",50
51,"[996, 892]","[1303, 978]",51
52,"[1322, 896]","[1484, 971]",52
53,"[1501, 892]","[1726, 978]",53
54,"[1750, 892]","[1982, 978]",54
55,"[2006, 899]","[2197, 974]",55
56,"[276, 981]","[483, 1056]",56
57,"[508, 984]","[561, 1036]",57
58,"[580, 981]","[735, 1046]",58
59,"[761, 984]","[974, 1049]",59
60,"[1001, 978]","[1148, 1056]",60
61,"[1170, 978]","[1286, 1042]",61
62,"[1308, 981]","[1450, 1032]",62
63,"[1474, 984]","[1656, 1025]",63
64,"[1682, 981]","[1905, 1032]",64
65,"[1926, 971]","[2199, 1060]",65
66,"[276, 1087]","[447, 1138]",66
67,"[476, 1083]","[657, 1159]",67
68,"[679, 1080]","[882, 1169]",68
69,"[902, 1083]","[1141, 1135]",69
70,"[411, 1186]","[592, 1248]",70
71,"[631, 1189]","[771, 1241]",71
72,"[810, 1193]","[916, 1244]",72
73,"[955, 1189]","[1160, 1265]",73
74,"[1201, 1189]","[1387, 1241]",74
75,"[276, 1265]","[418, 1316]",75
76,"[464, 1261]","[744, 1323]",76
77,"[793, 1275]","[887, 1316]",77
78,"[933, 1254]","[1235, 1340]",78
79,"[1276, 1258]","[1395, 1350]",79
80,"[1634, 1210]","[1798, 1251]",80
81,"[1825, 1203]","[1994, 1254]",81
82,"[276, 1340]","[512, 1391]",82
83,"[556, 1336]","[810, 1408]",83
84,"[856, 1340]","[1051, 1388]",84
85,"[1095, 1316]","[1390, 1405]",85
86,"[1443, 1323]","[1607, 1374]",86
87,"[1648, 1316]","[1818, 1391]",87
88,"[1861, 1326]","[1992, 1367]",88
89,"[2025, 1316]","[2183, 1377]",89
90,"[276, 1418]","[636, 1480]",90
91,"[660, 1418]","[865, 1494]",91
92,"[880, 1418]","[1124, 1494]",92
93,"[1148, 1415]","[1395, 1490]",93
94,"[1443, 1401]","[1598, 1442]",94
95,"[1619, 1395]","[1745, 1446]",95
96,"[1760, 1395]","[1922, 1459]",96
97,"[1934, 1395]","[2187, 1466]",97
98,"[273, 1497]","[404, 1562]",98
99,"[423, 1487]","[653, 1576]",99
100,"[672, 1483]","[856, 1559]",100
101,"[870, 1473]","[989, 1542]",101
102,"[1010, 1483]","[1392, 1579]",102
103,"[1441, 1459]","[1704, 1535]",103
104,"[1750, 1473]","[1919, 1538]",104
105,"[1965, 1466]","[2183, 1555]",105
106,"[1436, 1538]","[1757, 1613]",106
107,"[1801, 1548]","[1883, 1610]",107
