,Top-Left,Bottom-Right,Id
0,"[365, 291]","[783, 362]",0
1,"[802, 284]","[858, 342]",1
2,"[873, 291]","[931, 345]",2
3,"[1972, 280]","[2062, 335]",3
4,"[363, 455]","[464, 520]",4
5,"[570, 458]","[1005, 530]",5
6,"[1027, 455]","[1131, 533]",6
7,"[1148, 451]","[1252, 533]",7
8,"[1269, 461]","[1511, 530]",8
9,"[568, 571]","[677, 625]",9
10,"[701, 561]","[916, 622]",10
11,"[940, 564]","[1194, 639]",11
12,"[1218, 564]","[1474, 639]",12
13,"[1955, 561]","[2028, 615]",13
14,"[568, 725]","[699, 790]",14
15,"[744, 728]","[969, 790]",15
16,"[974, 725]","[1271, 796]",16
17,"[1245, 728]","[1438, 793]",17
18,"[1491, 725]","[1554, 769]",18
19,"[1557, 721]","[1864, 783]",19
20,"[1905, 708]","[2059, 796]",20
21,"[370, 827]","[682, 902]",21
22,"[720, 824]","[1250, 899]",22
23,"[1279, 827]","[1385, 909]",23
24,"[1419, 827]","[1624, 875]",24
25,"[1658, 820]","[1830, 882]",25
26,"[1864, 820]","[2054, 896]",26
27,"[367, 930]","[691, 1005]",27
28,"[713, 930]","[1136, 1001]",28
29,"[1153, 930]","[1470, 1001]",29
30,"[1494, 926]","[2050, 998]",30
31,"[365, 1032]","[836, 1094]",31
32,"[858, 1032]","[1146, 1104]",32
33,"[1165, 1025]","[1810, 1107]",33
34,"[568, 1189]","[631, 1234]",34
35,"[674, 1186]","[940, 1248]",35
36,"[979, 1179]","[1332, 1254]",36
37,"[1370, 1183]","[1687, 1254]",37
38,"[1726, 1183]","[1907, 1258]",38
39,"[1943, 1176]","[2054, 1258]",39
40,"[367, 1285]","[563, 1333]",40
41,"[580, 1282]","[735, 1333]",41
42,"[752, 1295]","[800, 1336]",42
43,"[817, 1289]","[1018, 1340]",43
44,"[1042, 1289]","[1327, 1336]",44
45,"[1344, 1285]","[1453, 1354]",45
46,"[1474, 1282]","[1764, 1354]",46
47,"[1784, 1282]","[2050, 1330]",47
48,"[363, 1384]","[437, 1439]",48
49,"[454, 1377]","[537, 1439]",49
50,"[553, 1384]","[858, 1456]",50
51,"[1951, 1384]","[2021, 1439]",51
52,"[363, 1531]","[466, 1596]",52
53,"[570, 1538]","[998, 1610]",53
54,"[1022, 1538]","[1189, 1613]",54
55,"[1211, 1535]","[1448, 1596]",55
56,"[566, 1644]","[648, 1699]",56
57,"[670, 1651]","[998, 1712]",57
58,"[1020, 1641]","[1182, 1729]",58
59,"[1204, 1641]","[1494, 1716]",59
60,"[1948, 1644]","[2018, 1699]",60
61,"[568, 1801]","[684, 1866]",61
62,"[711, 1798]","[1206, 1859]",62
63,"[1223, 1794]","[1325, 1873]",63
64,"[1344, 1798]","[1576, 1863]",64
65,"[1602, 1798]","[1801, 1849]",65
66,"[1825, 1798]","[2047, 1863]",66
67,"[365, 1900]","[931, 1972]",67
68,"[972, 1900]","[1385, 1972]",68
69,"[1426, 1900]","[1757, 1972]",69
70,"[1728, 1897]","[2050, 1972]",70
71,"[365, 2003]","[529, 2068]",71
72,"[551, 2003]","[1095, 2075]",72
73,"[1117, 1996]","[1673, 2071]",73
74,"[1682, 1996]","[2047, 2068]",74
75,"[365, 2099]","[786, 2184]",75
76,"[798, 2099]","[1515, 2181]",76
77,"[566, 2266]","[636, 2314]",77
78,"[674, 2252]","[889, 2304]",78
79,"[926, 2249]","[1063, 2328]",79
80,"[1090, 2246]","[1252, 2307]",80
81,"[1288, 2249]","[1450, 2314]",81
82,"[1491, 2252]","[1718, 2304]",82
83,"[1752, 2249]","[1842, 2331]",83
84,"[1878, 2256]","[2052, 2307]",84
85,"[363, 2358]","[602, 2410]",85
86,"[624, 2358]","[931, 2406]",86
87,"[950, 2355]","[1027, 2410]",87
88,"[1049, 2362]","[1230, 2403]",88
89,"[1257, 2362]","[1559, 2423]",89
90,"[1955, 2365]","[2021, 2410]",90
91,"[358, 2509]","[464, 2574]",91
92,"[566, 2519]","[691, 2570]",92
93,"[706, 2512]","[769, 2574]",93
94,"[783, 2516]","[1090, 2591]",94
95,"[1107, 2512]","[1192, 2584]",95
96,"[1208, 2505]","[1414, 2594]",96
97,"[1431, 2509]","[1542, 2574]",97
98,"[568, 2622]","[715, 2683]",98
99,"[735, 2628]","[875, 2704]",99
100,"[897, 2625]","[1071, 2700]",100
101,"[1097, 2628]","[1274, 2693]",101
102,"[1298, 2625]","[1339, 2676]",102
103,"[1358, 2615]","[1528, 2690]",103
104,"[1955, 2628]","[2025, 2683]",104
105,"[566, 2789]","[696, 2854]",105
106,"[737, 2782]","[1143, 2854]",106
107,"[1187, 2786]","[1433, 2837]",107
108,"[1412, 2782]","[1607, 2844]",108
109,"[1653, 2779]","[1786, 2844]",109
110,"[1830, 2786]","[2054, 2837]",110
111,"[358, 2888]","[621, 2960]",111
112,"[653, 2892]","[1073, 2967]",112
113,"[1105, 2878]","[1329, 2953]",113
114,"[1356, 2875]","[1832, 2960]",114
115,"[1861, 2888]","[2054, 2963]",115
116,"[358, 2998]","[471, 3052]",116
117,"[495, 3004]","[701, 3069]",117
118,"[720, 3008]","[769, 3052]",118
119,"[786, 2987]","[1117, 3049]",119
120,"[1138, 2991]","[1276, 3056]",120
121,"[1293, 2984]","[1511, 3069]",121
122,"[1530, 2991]","[1815, 3052]",122
123,"[1839, 2991]","[2054, 3066]",123
124,"[355, 3104]","[706, 3179]",124
125,"[728, 3090]","[1201, 3162]",125
126,"[1221, 3093]","[1259, 3148]",126
127,"[1279, 3090]","[1465, 3155]",127
128,"[1489, 3097]","[1723, 3158]",128
