,Top-Left,Bottom-Right,Id
0,"[338, 133]","[469, 185]",0
1,"[662, 126]","[795, 178]",1
2,"[822, 133]","[923, 185]",2
3,"[592, 250]","[694, 314]",3
4,"[735, 253]","[846, 308]",4
5,"[1112, 133]","[1136, 181]",5
6,"[1170, 123]","[1286, 191]",6
7,"[1325, 130]","[1443, 181]",7
8,"[1636, 123]","[1774, 174]",8
9,"[1791, 130]","[1893, 181]",9
10,"[2076, 123]","[2212, 185]",10
11,"[1346, 250]","[1455, 304]",11
12,"[1474, 246]","[1537, 321]",12
13,"[1576, 260]","[1665, 325]",13
14,"[1714, 246]","[1893, 308]",14
15,"[1931, 243]","[2042, 308]",15
16,"[2079, 243]","[2183, 321]",16
17,"[1339, 321]","[1530, 396]",17
18,"[1537, 328]","[1631, 393]",18
19,"[1639, 332]","[1767, 383]",19
20,"[1774, 328]","[1830, 390]",20
21,"[1849, 328]","[1963, 383]",21
22,"[1980, 325]","[2025, 390]",22
23,"[2033, 321]","[2183, 400]",23
24,"[1450, 479]","[1542, 561]",24
25,"[1569, 479]","[1663, 561]",25
26,"[1682, 479]","[1769, 561]",26
27,"[1820, 482]","[1931, 547]",27
28,"[1963, 485]","[2059, 550]",28
29,"[2074, 482]","[2183, 547]",29
30,"[1341, 557]","[1462, 636]",30
31,"[1479, 557]","[1578, 636]",31
32,"[1598, 561]","[1733, 622]",32
33,"[1755, 561]","[1815, 622]",33
34,"[1839, 564]","[1953, 619]",34
35,"[1977, 557]","[2042, 636]",35
36,"[2059, 561]","[2178, 625]",36
37,"[1344, 639]","[1443, 718]",37
38,"[1465, 639]","[1600, 718]",38
39,"[1624, 643]","[1660, 718]",39
40,"[1682, 646]","[1772, 714]",40
41,"[1793, 639]","[1924, 714]",41
42,"[1943, 643]","[2069, 708]",42
43,"[2093, 643]","[2178, 697]",43
44,"[1344, 721]","[1436, 790]",44
45,"[1450, 721]","[1569, 786]",45
46,"[1581, 718]","[1627, 786]",46
47,"[1636, 718]","[1738, 796]",47
48,"[1750, 718]","[1791, 790]",48
49,"[1808, 735]","[1909, 790]",49
50,"[1926, 731]","[2100, 783]",50
51,"[2120, 728]","[2180, 786]",51
52,"[1339, 800]","[1455, 865]",52
53,"[1479, 800]","[1578, 865]",53
54,"[1600, 796]","[1709, 875]",54
55,"[1726, 796]","[1793, 875]",55
56,"[1830, 800]","[1931, 868]",56
57,"[1951, 800]","[2040, 865]",57
58,"[2062, 810]","[2180, 861]",58
59,"[1339, 878]","[1428, 943]",59
60,"[1445, 896]","[1590, 937]",60
61,"[1610, 878]","[1699, 943]",61
62,"[1714, 892]","[1776, 947]",62
63,"[1791, 882]","[1897, 950]",63
64,"[1917, 899]","[1938, 940]",64
65,"[1958, 882]","[2088, 943]",65
66,"[2120, 878]","[2180, 940]",66
67,"[1341, 957]","[1542, 1019]",67
68,"[1566, 974]","[1636, 1029]",68
69,"[1697, 960]","[1803, 1029]",69
70,"[1827, 967]","[1984, 1019]",70
71,"[2009, 960]","[2054, 1025]",71
72,"[2091, 960]","[2185, 1025]",72
73,"[1341, 1036]","[1474, 1111]",73
74,"[1503, 1039]","[1622, 1107]",74
75,"[1658, 1042]","[1769, 1111]",75
76,"[1803, 1042]","[1934, 1104]",76
77,"[1982, 1042]","[2086, 1111]",77
78,"[2115, 1042]","[2180, 1114]",78
79,"[1339, 1111]","[1424, 1200]",79
80,"[1436, 1111]","[1477, 1196]",80
81,"[1537, 1131]","[1612, 1189]",81
82,"[1631, 1114]","[1745, 1196]",82
83,"[1760, 1118]","[1919, 1179]",83
84,"[1958, 1118]","[2004, 1183]",84
85,"[2028, 1118]","[2178, 1179]",85
86,"[437, 352]","[616, 414]",86
87,"[672, 349]","[732, 407]",87
88,"[766, 345]","[916, 420]",88
89,"[928, 355]","[1010, 410]",89
90,"[1080, 345]","[1167, 417]",90
91,"[331, 427]","[408, 485]",91
92,"[430, 431]","[515, 485]",92
93,"[534, 431]","[604, 502]",93
94,"[626, 434]","[761, 485]",94
95,"[786, 431]","[844, 489]",95
96,"[863, 427]","[952, 496]",96
97,"[969, 424]","[1071, 489]",97
98,"[442, 530]","[527, 602]",98
99,"[563, 530]","[657, 584]",99
100,"[699, 530]","[735, 584]",100
101,"[778, 537]","[844, 595]",101
102,"[887, 523]","[986, 591]",102
103,"[1037, 537]","[1160, 588]",103
104,"[331, 605]","[406, 673]",104
105,"[430, 605]","[500, 677]",105
106,"[522, 605]","[587, 680]",106
107,"[614, 622]","[686, 680]",107
108,"[711, 605]","[827, 670]",108
109,"[848, 612]","[909, 667]",109
110,"[933, 622]","[1114, 673]",110
111,"[440, 704]","[529, 776]",111
