,Top-Left,Bottom-Right,Id
0,"[225, 109]","[379, 150]",0
1,"[396, 109]","[655, 157]",1
2,"[665, 109]","[902, 161]",2
3,"[952, 103]","[1034, 157]",3
4,"[1042, 106]","[1105, 150]",4
5,"[1112, 103]","[1223, 154]",5
6,"[1225, 103]","[1308, 164]",6
7,"[1368, 116]","[1399, 147]",7
8,"[256, 260]","[433, 311]",8
9,"[445, 260]","[524, 314]",9
10,"[558, 260]","[725, 311]",10
11,"[732, 260]","[909, 311]",11
12,"[952, 250]","[1071, 314]",12
13,"[1068, 256]","[1155, 311]",13
14,"[1165, 263]","[1329, 314]",14
15,"[1564, 103]","[1644, 157]",15
16,"[1689, 99]","[1861, 161]",16
17,"[1864, 106]","[1912, 154]",17
18,"[1965, 106]","[2105, 147]",18
19,"[2112, 106]","[2154, 150]",19
20,"[2161, 106]","[2221, 150]",20
21,"[2226, 106]","[2381, 157]",21
22,"[1462, 263]","[1501, 311]",22
23,"[1511, 260]","[1648, 311]",23
24,"[1694, 256]","[1760, 314]",24
25,"[1762, 246]","[1808, 318]",25
26,"[1813, 263]","[1984, 314]",26
27,"[1996, 273]","[2016, 301]",27
28,"[2023, 256]","[2122, 311]",28
29,"[2127, 260]","[2236, 311]",29
30,"[2243, 250]","[2386, 311]",30
31,"[213, 161]","[611, 212]",31
32,"[611, 157]","[766, 208]",32
33,"[761, 157]","[906, 222]",33
34,"[952, 157]","[1083, 208]",34
35,"[1088, 157]","[1201, 212]",35
36,"[1211, 161]","[1264, 205]",36
37,"[1269, 154]","[1436, 215]",37
38,"[1443, 157]","[1573, 208]",38
39,"[1583, 157]","[1641, 202]",39
40,"[1694, 154]","[1769, 208]",40
41,"[1779, 164]","[1926, 205]",41
42,"[1938, 157]","[2320, 208]",42
43,"[2332, 157]","[2381, 205]",43
44,"[205, 304]","[341, 369]",44
45,"[348, 311]","[430, 366]",45
46,"[437, 314]","[592, 366]",46
47,"[602, 308]","[691, 362]",47
48,"[699, 308]","[790, 362]",48
49,"[798, 308]","[911, 362]",49
50,"[950, 304]","[1124, 369]",50
51,"[1124, 308]","[1264, 369]",51
52,"[1267, 311]","[1387, 362]",52
53,"[1383, 304]","[1472, 369]",53
54,"[1470, 308]","[1578, 373]",54
55,"[1578, 308]","[1646, 366]",55
56,"[1692, 304]","[1830, 369]",56
57,"[1825, 311]","[1931, 376]",57
58,"[1926, 311]","[2081, 362]",58
59,"[2081, 304]","[2195, 369]",59
60,"[2197, 311]","[2262, 355]",60
61,"[2257, 321]","[2286, 352]",61
62,"[2294, 308]","[2386, 362]",62
63,"[203, 359]","[292, 424]",63
64,"[288, 369]","[326, 414]",64
65,"[331, 362]","[433, 417]",65
66,"[437, 362]","[534, 417]",66
67,"[529, 366]","[686, 417]",67
68,"[694, 366]","[827, 417]",68
69,"[824, 362]","[904, 414]",69
70,"[950, 355]","[1025, 424]",70
71,"[1027, 362]","[1109, 417]",71
72,"[1105, 359]","[1252, 424]",72
73,"[1257, 362]","[1424, 414]",73
74,"[1431, 359]","[1537, 424]",74
75,"[1540, 355]","[1651, 424]",75
76,"[1702, 376]","[1779, 417]",76
77,"[1820, 352]","[1868, 414]",77
78,"[1873, 366]","[1960, 407]",78
79,"[1975, 362]","[2030, 420]",79
80,"[2038, 362]","[2105, 420]",80
81,"[2117, 366]","[2163, 410]",81
82,"[2175, 366]","[2328, 407]",82
83,"[2340, 359]","[2390, 417]",83
84,"[208, 414]","[273, 472]",84
85,"[283, 414]","[447, 479]",85
86,"[447, 414]","[558, 468]",86
87,"[561, 417]","[677, 468]",87
88,"[684, 414]","[800, 479]",88
89,"[802, 410]","[911, 475]",89
90,"[952, 407]","[989, 482]",90
91,"[989, 407]","[1121, 482]",91
92,"[1124, 410]","[1177, 475]",92
93,"[1187, 417]","[1366, 468]",93
94,"[1378, 417]","[1508, 468]",94
95,"[1515, 417]","[1561, 465]",95
96,"[1564, 407]","[1653, 475]",96
97,"[1699, 414]","[2071, 475]",97
98,"[213, 212]","[396, 263]",98
99,"[404, 212]","[471, 253]",99
100,"[479, 208]","[599, 260]",100
101,"[592, 212]","[638, 253]",101
102,"[645, 212]","[802, 253]",102
103,"[955, 208]","[1047, 260]",103
104,"[1066, 212]","[1208, 253]",104
105,"[1213, 212]","[1317, 263]",105
106,"[1322, 205]","[1387, 260]",106
107,"[1385, 208]","[1648, 270]",107
108,"[1687, 198]","[1803, 277]",108
109,"[1803, 208]","[1876, 267]",109
110,"[1888, 219]","[1922, 250]",110
111,"[2009, 208]","[2091, 260]",111
112,"[2096, 212]","[2187, 263]",112
113,"[2197, 215]","[2289, 267]",113
114,"[2296, 212]","[2388, 253]",114
115,"[205, 461]","[314, 526]",115
116,"[317, 468]","[413, 520]",116
117,"[421, 468]","[464, 513]",117
118,"[466, 465]","[563, 516]",118
119,"[575, 475]","[638, 516]",119
120,"[660, 465]","[757, 516]",120
121,"[766, 461]","[802, 520]",121
122,"[805, 448]","[906, 530]",122
123,"[950, 465]","[1027, 520]",123
124,"[1030, 455]","[1119, 523]",124
125,"[1121, 472]","[1250, 523]",125
126,"[1259, 468]","[1462, 520]",126
