,Top-Left,Bottom-Right,Id
0,"[433, 246]","[529, 301]",0
1,"[1769, 253]","[2248, 328]",1
2,"[660, 420]","[822, 509]",2
3,"[841, 427]","[998, 506]",3
4,"[1022, 424]","[1136, 520]",4
5,"[1153, 427]","[1363, 530]",5
6,"[1383, 434]","[1629, 506]",6
7,"[660, 540]","[790, 605]",7
8,"[810, 547]","[940, 612]",8
9,"[962, 550]","[1134, 629]",9
10,"[1143, 550]","[1414, 636]",10
11,"[1438, 557]","[1653, 622]",11
12,"[648, 649]","[1242, 759]",12
13,"[1262, 667]","[1644, 728]",13
14,"[2183, 557]","[2216, 615]",14
15,"[655, 824]","[788, 899]",15
16,"[815, 837]","[1097, 899]",16
17,"[1124, 827]","[1310, 889]",17
18,"[1337, 834]","[1573, 896]",18
19,"[1602, 834]","[1861, 885]",19
20,"[1888, 831]","[2035, 909]",20
21,"[2057, 834]","[2245, 909]",21
22,"[430, 933]","[732, 1005]",22
23,"[771, 940]","[1114, 1015]",23
24,"[1150, 940]","[1639, 1012]",24
25,"[1675, 937]","[2245, 1022]",25
26,"[416, 1042]","[1076, 1128]",26
27,"[1097, 1053]","[1358, 1104]",27
28,"[1383, 1056]","[1612, 1131]",28
29,"[1636, 1053]","[1907, 1114]",29
30,"[1929, 1063]","[2050, 1114]",30
31,"[2074, 1053]","[2243, 1104]",31
32,"[423, 1155]","[841, 1230]",32
33,"[865, 1162]","[1303, 1237]",33
34,"[1327, 1169]","[1711, 1241]",34
35,"[1735, 1159]","[2243, 1234]",35
36,"[428, 1271]","[766, 1343]",36
37,"[793, 1271]","[935, 1347]",37
38,"[964, 1268]","[1238, 1330]",38
39,"[1267, 1271]","[1370, 1340]",39
40,"[1397, 1275]","[1711, 1347]",40
41,"[1740, 1271]","[2016, 1347]",41
42,"[2042, 1271]","[2183, 1347]",42
43,"[2199, 1268]","[2250, 1326]",43
44,"[425, 1377]","[831, 1453]",44
45,"[865, 1381]","[1320, 1456]",45
46,"[1349, 1388]","[1576, 1453]",46
47,"[1600, 1381]","[2076, 1453]",47
48,"[2098, 1371]","[2245, 1432]",48
49,"[423, 1490]","[802, 1562]",49
50,"[851, 1490]","[1496, 1562]",50
51,"[1530, 1473]","[2093, 1579]",51
52,"[2125, 1483]","[2250, 1576]",52
53,"[425, 1600]","[834, 1675]",53
54,"[868, 1589]","[1271, 1685]",54
55,"[1305, 1600]","[1467, 1651]",55
56,"[1501, 1596]","[1595, 1661]",56
57,"[1627, 1596]","[1774, 1675]",57
58,"[1805, 1596]","[2110, 1668]",58
59,"[2144, 1593]","[2245, 1661]",59
60,"[421, 1702]","[894, 1798]",60
61,"[923, 1709]","[1486, 1784]",61
62,"[1515, 1702]","[1948, 1777]",62
63,"[1977, 1702]","[2243, 1777]",63
64,"[416, 1815]","[800, 1900]",64
65,"[829, 1812]","[1078, 1883]",65
66,"[1105, 1815]","[1242, 1866]",66
67,"[1269, 1812]","[1370, 1876]",67
68,"[1399, 1818]","[1612, 1870]",68
69,"[1644, 1812]","[2047, 1873]",69
70,"[2079, 1815]","[2248, 1890]",70
71,"[421, 1935]","[561, 2000]",71
72,"[604, 1917]","[1279, 1979]",72
73,"[1317, 1914]","[1532, 2000]",73
74,"[1569, 1924]","[1796, 1989]",74
75,"[1834, 1917]","[2025, 1993]",75
76,"[2062, 1917]","[2245, 1979]",76
77,"[423, 2044]","[638, 2109]",77
78,"[662, 2027]","[1242, 2099]",78
79,"[1264, 2020]","[1747, 2082]",79
80,"[665, 2194]","[744, 2249]",80
81,"[773, 2177]","[1030, 2249]",81
82,"[1059, 2177]","[1119, 2232]",82
83,"[1148, 2177]","[1349, 2239]",83
84,"[1380, 2174]","[1610, 2225]",84
85,"[1641, 2174]","[1798, 2239]",85
86,"[1830, 2174]","[2081, 2235]",86
87,"[2115, 2177]","[2248, 2229]",87
88,"[425, 2293]","[839, 2365]",88
89,"[827, 2287]","[989, 2365]",89
90,"[1015, 2283]","[1225, 2334]",90
91,"[1250, 2283]","[1465, 2358]",91
92,"[1482, 2290]","[1530, 2338]",92
93,"[1549, 2293]","[1653, 2334]",93
94,"[1673, 2273]","[1948, 2334]",94
95,"[1965, 2276]","[2115, 2365]",95
96,"[2129, 2283]","[2250, 2362]",96
97,"[433, 2413]","[701, 2475]",97
98,"[728, 2396]","[906, 2458]",98
99,"[926, 2386]","[1018, 2454]",99
100,"[1034, 2393]","[1121, 2447]",100
101,"[1141, 2389]","[1250, 2468]",101
102,"[1267, 2393]","[1387, 2444]",102
