,Top-Left,Bottom-Right,Id
0,"[408, 287]","[800, 373]",0
1,"[839, 291]","[1080, 366]",1
2,"[1121, 287]","[1225, 383]",2
3,"[1252, 291]","[1617, 366]",3
4,"[1656, 287]","[1885, 373]",4
5,"[1924, 291]","[2074, 352]",5
6,"[2115, 291]","[2207, 373]",6
7,"[273, 366]","[452, 444]",7
8,"[479, 369]","[614, 448]",8
9,"[636, 369]","[754, 434]",9
10,"[786, 366]","[1092, 427]",10
11,"[1119, 345]","[1279, 434]",11
12,"[1305, 373]","[1489, 424]",12
13,"[1518, 355]","[1745, 455]",13
14,"[1762, 366]","[2042, 427]",14
15,"[2069, 366]","[2202, 427]",15
16,"[273, 444]","[660, 516]",16
17,"[696, 448]","[969, 509]",17
18,"[1010, 458]","[1097, 523]",18
19,"[1134, 448]","[1370, 499]",19
20,"[1412, 451]","[1532, 502]",20
21,"[1569, 427]","[1757, 526]",21
22,"[1789, 448]","[1977, 513]",22
23,"[2018, 448]","[2204, 526]",23
24,"[276, 523]","[602, 598]",24
25,"[631, 516]","[923, 591]",25
26,"[952, 523]","[1225, 595]",26
27,"[1254, 530]","[1433, 571]",27
28,"[1462, 523]","[1581, 605]",28
29,"[1600, 526]","[1839, 578]",29
30,"[1868, 523]","[2059, 605]",30
31,"[2079, 520]","[2199, 584]",31
32,"[273, 602]","[392, 667]",32
33,"[421, 598]","[537, 677]",33
34,"[566, 605]","[877, 680]",34
35,"[902, 598]","[1225, 673]",35
36,"[276, 704]","[520, 752]",36
37,"[546, 701]","[771, 776]",37
38,"[798, 701]","[904, 755]",38
39,"[413, 800]","[752, 875]",39
40,"[771, 803]","[904, 854]",40
41,"[928, 803]","[1189, 878]",41
42,"[1211, 807]","[1322, 875]",42
43,"[1341, 803]","[1636, 851]",43
44,"[1660, 803]","[1837, 854]",44
45,"[1861, 800]","[2199, 875]",45
46,"[276, 878]","[423, 930]",46
47,"[447, 872]","[643, 933]",47
48,"[670, 878]","[817, 930]",48
49,"[841, 872]","[1143, 933]",49
50,"[1170, 868]","[1433, 954]",50
51,"[1450, 878]","[1767, 950]",51
52,"[1796, 878]","[2093, 930]",52
53,"[2117, 875]","[2209, 957]",53
54,"[271, 957]","[334, 1012]",54
55,"[360, 957]","[544, 1008]",55
56,"[573, 950]","[798, 1036]",56
57,"[822, 954]","[1010, 1029]",57
58,"[1037, 954]","[1262, 1039]",58
59,"[1283, 947]","[1523, 1032]",59
60,"[1552, 960]","[1793, 1029]",60
61,"[1818, 957]","[2069, 1032]",61
62,"[2096, 950]","[2204, 1015]",62
63,"[276, 1032]","[566, 1107]",63
64,"[590, 1008]","[720, 1087]",64
65,"[749, 1032]","[974, 1107]",65
66,"[998, 1032]","[1175, 1107]",66
67,"[1206, 1025]","[1535, 1087]",67
68,"[411, 1131]","[580, 1210]",68
69,"[607, 1135]","[788, 1200]",69
70,"[815, 1131]","[1005, 1207]",70
71,"[1032, 1131]","[1165, 1183]",71
72,"[1182, 1125]","[1402, 1210]",72
73,"[1419, 1125]","[1571, 1203]",73
74,"[1593, 1135]","[1871, 1196]",74
75,"[1895, 1125]","[2202, 1200]",75
76,"[276, 1200]","[524, 1261]",76
77,"[568, 1203]","[718, 1265]",77
78,"[757, 1200]","[1018, 1289]",78
79,"[1063, 1207]","[1240, 1285]",79
80,"[1276, 1179]","[1578, 1302]",80
81,"[1600, 1196]","[2023, 1295]",81
82,"[2054, 1203]","[2207, 1292]",82
83,"[276, 1282]","[498, 1357]",83
84,"[544, 1285]","[744, 1350]",84
85,"[793, 1278]","[1047, 1340]",85
86,"[1090, 1278]","[1327, 1364]",86
87,"[1370, 1282]","[1477, 1336]",87
88,"[1520, 1278]","[1641, 1360]",88
89,"[1677, 1285]","[1897, 1360]",89
90,"[1943, 1275]","[2033, 1364]",90
91,"[2064, 1278]","[2202, 1367]",91
92,"[273, 1360]","[392, 1439]",92
93,"[430, 1364]","[670, 1439]",93
94,"[703, 1357]","[916, 1442]",94
95,"[950, 1364]","[1119, 1439]",95
96,"[1155, 1357]","[1366, 1442]",96
97,"[1402, 1357]","[1576, 1432]",97
98,"[1607, 1354]","[1805, 1439]",98
99,"[1837, 1357]","[1951, 1449]",99
100,"[1977, 1350]","[2197, 1415]",100
101,"[276, 1442]","[701, 1514]",101
102,"[728, 1439]","[873, 1490]",102
103,"[902, 1436]","[1143, 1487]",103
104,"[411, 1542]","[510, 1593]",104
105,"[532, 1538]","[607, 1613]",105
106,"[621, 1545]","[749, 1620]",106
107,"[761, 1542]","[931, 1617]",107
108,"[952, 1542]","[1100, 1617]",108
109,"[1119, 1535]","[1211, 1620]",109
110,"[1223, 1524]","[1477, 1610]",110
111,"[271, 1685]","[367, 1788]",111
112,"[379, 1678]","[563, 1753]",112
113,"[582, 1692]","[701, 1771]",113
114,"[713, 1692]","[848, 1753]",114
115,"[868, 1692]","[1107, 1753]",115
116,"[1129, 1688]","[1281, 1750]",116
117,"[1300, 1692]","[1472, 1757]",117
118,"[273, 1613]","[508, 1699]",118
119,"[527, 1603]","[653, 1668]",119
120,"[672, 1610]","[776, 1675]",120
121,"[795, 1606]","[989, 1671]",121
122,"[1005, 1600]","[1172, 1692]",122
123,"[1189, 1610]","[1472, 1671]",123
124,"[1513, 1606]","[1685, 1668]",124
125,"[1709, 1610]","[1876, 1661]",125
126,"[1586, 1699]","[1847, 1750]",126
127,"[1893, 1695]","[2178, 1767]",127
128,"[276, 1767]","[447, 1842]",128
129,"[466, 1764]","[662, 1849]",129
130,"[679, 1764]","[824, 1853]",130
131,"[851, 1767]","[1088, 1853]",131
132,"[1107, 1764]","[1479, 1849]",132
133,"[1518, 1767]","[1757, 1829]",133
134,"[1779, 1771]","[1958, 1832]",134
135,"[1977, 1757]","[2183, 1846]",135
136,"[268, 1818]","[392, 1931]",136
137,"[401, 1839]","[655, 1900]",137
138,"[679, 1825]","[798, 1907]",138
139,"[819, 1849]","[993, 1911]",139
140,"[1020, 1849]","[1252, 1924]",140
141,"[1274, 1849]","[1472, 1914]",141
142,"[1520, 1839]","[1615, 1890]",142
143,"[1615, 1846]","[1718, 1887]",143
144,"[1779, 1842]","[1895, 1894]",144
145,"[1868, 1825]","[2185, 1911]",145
146,"[273, 1917]","[481, 1979]",146
147,"[510, 1924]","[631, 1976]",147
148,"[667, 1931]","[1001, 1969]",148
149,"[1039, 1917]","[1204, 1982]",149
150,"[1216, 1917]","[1472, 1979]",150
151,"[1513, 1907]","[1793, 1979]",151
152,"[1842, 1917]","[2178, 1969]",152
153,"[276, 2003]","[474, 2068]",153
154,"[520, 2003]","[660, 2054]",154
155,"[708, 2000]","[1032, 2075]",155
156,"[1076, 2000]","[1279, 2061]",156
157,"[1322, 2003]","[1472, 2054]",157
158,"[1518, 1979]","[1706, 2030]",158
159,"[1750, 1979]","[1970, 2054]",159
160,"[2006, 1976]","[2183, 2051]",160
161,"[278, 2078]","[425, 2129]",161
162,"[474, 2078]","[720, 2129]",162
163,"[769, 2075]","[1148, 2136]",163
164,"[1194, 2078]","[1474, 2153]",164
165,"[1513, 2051]","[1646, 2126]",165
166,"[1687, 2051]","[1953, 2102]",166
167,"[2001, 2047]","[2180, 2123]",167
168,"[276, 2157]","[486, 2232]",168
169,"[524, 2157]","[643, 2211]",169
170,"[684, 2160]","[887, 2222]",170
171,"[926, 2150]","[1136, 2211]",171
172,"[1179, 2157]","[1467, 2208]",172
173,"[1520, 2119]","[1854, 2194]",173
174,"[276, 2235]","[512, 2283]",174
175,"[544, 2232]","[844, 2307]",175
176,"[278, 2334]","[520, 2382]",176
177,"[544, 2328]","[776, 2413]",177
178,"[795, 2328]","[996, 2417]",178
179,"[1018, 2331]","[1257, 2382]",179
180,"[1515, 2355]","[1685, 2406]",180
181,"[1706, 2348]","[1830, 2427]",181
182,"[1851, 2358]","[1873, 2410]",182
183,"[276, 2434]","[445, 2485]",183
184,"[549, 2430]","[851, 2492]",184
185,"[906, 2434]","[1182, 2509]",185
186,"[1240, 2434]","[1470, 2499]",186
187,"[1586, 2437]","[1774, 2512]",187
188,"[1808, 2440]","[2059, 2488]",188
189,"[2098, 2437]","[2180, 2492]",189
190,"[1600, 2495]","[1900, 2570]",190
191,"[1941, 2505]","[2185, 2591]",191
192,"[1595, 2577]","[1975, 2649]",192
193,"[1588, 2683]","[1871, 2731]",193
194,"[1919, 2680]","[2178, 2755]",194
195,"[276, 2509]","[607, 2560]",195
196,"[643, 2509]","[1015, 2560]",196
197,"[1049, 2502]","[1201, 2563]",197
198,"[1233, 2505]","[1341, 2587]",198
199,"[1358, 2505]","[1479, 2598]",199
200,"[273, 2587]","[464, 2663]",200
201,"[510, 2581]","[969, 2666]",201
202,"[1015, 2584]","[1138, 2666]",202
203,"[1172, 2581]","[1472, 2666]",203
204,"[273, 2656]","[532, 2741]",204
205,"[578, 2663]","[858, 2738]",205
206,"[897, 2649]","[1034, 2741]",206
207,"[1073, 2646]","[1482, 2745]",207
208,"[276, 2738]","[500, 2813]",208
209,"[549, 2738]","[865, 2813]",209
210,"[909, 2738]","[1008, 2823]",210
211,"[1044, 2734]","[1201, 2823]",211
212,"[1242, 2734]","[1472, 2810]",212
213,"[1518, 2748]","[1682, 2823]",213
214,"[1714, 2751]","[1849, 2827]",214
215,"[1888, 2751]","[2059, 2816]",215
216,"[2091, 2745]","[2178, 2816]",216
217,"[278, 2816]","[553, 2868]",217
218,"[587, 2820]","[730, 2881]",218
219,"[764, 2816]","[921, 2878]",219
220,"[947, 2827]","[1039, 2895]",220
221,"[1063, 2810]","[1298, 2885]",221
222,"[1327, 2816]","[1470, 2881]",222
223,"[1513, 2813]","[1617, 2895]",223
224,"[1656, 2816]","[1839, 2895]",224
225,"[1878, 2823]","[2100, 2875]",225
226,"[2141, 2827]","[2180, 2875]",226
227,"[276, 2895]","[537, 2946]",227
228,"[558, 2892]","[670, 2974]",228
229,"[691, 2895]","[858, 2946]",229
230,"[880, 2892]","[1030, 2970]",230
231,"[1051, 2895]","[1170, 2946]",231
232,"[1194, 2895]","[1477, 2970]",232
233,"[1513, 2881]","[1644, 2960]",233
234,"[1668, 2892]","[1774, 2970]",234
235,"[1798, 2892]","[1948, 2943]",235
236,"[1977, 2898]","[2156, 2963]",236
237,"[271, 3039]","[529, 3124]",237
238,"[570, 3045]","[665, 3100]",238
239,"[703, 3049]","[829, 3114]",239
240,"[865, 3049]","[1119, 3121]",240
241,"[1158, 3028]","[1329, 3131]",241
242,"[1366, 3045]","[1508, 3121]",242
243,"[1549, 3049]","[1914, 3121]",243
244,"[1958, 3052]","[2197, 3127]",244
245,"[268, 2967]","[510, 3056]",245
246,"[488, 3001]","[512, 3035]",246
247,"[553, 2970]","[795, 3045]",247
248,"[841, 2974]","[1121, 3045]",248
249,"[1167, 2970]","[1477, 3056]",249
250,"[276, 3131]","[394, 3199]",250
251,"[421, 3124]","[541, 3175]",251
252,"[570, 3121]","[713, 3172]",252
253,"[742, 3117]","[1003, 3189]",253
254,"[1034, 3121]","[1184, 3172]",254
255,"[1211, 3104]","[1474, 3203]",255
256,"[1491, 3114]","[1718, 3199]",256
257,"[1184, 3237]","[1283, 3315]",257
