d_drawer,d_area_median,d_stroke_freq_median,d_rangestroketime_median,d_firststroketime_median,d_laststroketime_median,d_pcgamestup,d_pcgamestdown,d_pcgameserasehighlight
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,82306.7497627424,0.5788022188618911,21.65999984741211,3.5119998455047607,26.81500005722046,0.0,0.0,0.7777777777777778
14,60929.32843182045,0.2391676951617906,25.08700013160706,1.368000030517578,26.45500016212464,1.0,1.0,1.0
26,119037.63797572337,0.4025330237376816,54.16199994087219,2.458999991416931,56.62099993228912,0.75,0.5,1.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,45417.72340743454,0.3159646876463749,85.94549989700317,3.771000027656555,89.71649992465973,0.0,0.0,1.0
39,38940.06036869295,0.5522079884988065,11.594499945640564,3.2070000171661377,14.740000009536743,0.0,0.25,0.375
78,120257.06428960172,0.3398684196358139,26.20450007915497,2.2925000190734863,29.03349995613098,0.3333333333333333,0.25,0.5
73,102933.87772427688,0.2142572628447605,84.41699993610382,3.9259999990463257,91.0439999103546,0.5,0.75,1.0
75,91835.04124425614,0.3891050581594888,35.370999813079834,2.761000156402588,39.78600001335144,0.2727272727272727,0.1818181818181818,0.6363636363636364
47,69907.3321091083,0.4286555383057209,31.319499969482425,1.8644999265670776,34.50999999046326,0.8333333333333334,0.3888888888888889,0.8888888888888888
70,98003.45155282592,0.9174311980118076,19.61999988555908,4.450999975204468,24.07099986076355,1.0,0.0,1.0
59,170111.6180126079,0.3255668529687153,95.33900010585783,2.814000010490418,99.13900005817412,0.75,1.0,1.0
68,44213.62250702972,0.2995484965112197,18.93500006198883,2.243499875068665,22.88200008869171,0.1,0.2,0.4
84,74224.0611960529,0.2169790750583001,80.16650009155273,12.541000008583069,92.7075001001358,0.5,0.5,1.0
54,52904.5937410955,0.3854678610974631,42.02600002288819,3.0,43.50300002098084,0.5714285714285714,0.0,0.7142857142857143
98,103143.47011433545,0.2500416733516875,87.25799989700319,3.901999950408936,91.15999984741212,1.0,0.6666666666666666,1.0
96,133042.78599565756,0.242052348033969,50.51899993419647,3.833999991416931,56.14199984073639,0.75,0.25,0.75
88,24986.961020611,0.1433381394859062,46.17149984836578,8.708000183105469,54.87950003147125,0.5,0.5,1.0
115,227920.1360907321,0.2263570718932895,111.15899991989136,2.313500046730041,116.07550001144408,0.375,0.625,0.875
97,117466.24910017443,0.1015919459460539,98.43299984931949,1.571000099182129,100.0039999485016,1.0,0.0,1.0
108,57496.34554105884,0.3619212759430634,34.551000118255615,2.5480000972747803,38.3989999294281,0.8571428571428571,0.0,1.0
118,42366.24349996766,0.4138122588542394,25.89549994468689,4.140499949455261,29.82049989700317,0.2,0.2,0.5
110,67542.69396611382,0.3187759000896698,37.64400005340576,2.907999992370605,40.55200004577637,0.6666666666666666,0.3333333333333333,1.0
124,31857.55444908411,0.2447945320916037,30.10199999809265,3.0065001249313354,40.34950006008148,0.75,0.4166666666666667,1.0
38,47889.763789214325,0.4366225576279063,29.7739999294281,4.050999879837036,34.54699993133545,0.5714285714285714,0.4285714285714285,1.0
122,142774.31978274553,0.5982529910817311,26.24099993705749,8.279000043869019,39.52749991416931,0.0,0.0,0.5
126,57184.905521064895,0.4375651785687181,25.09850001335144,1.563499927520752,26.91949999332428,0.5,0.125,0.625
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
